Date,BTC-USD,ETH-USD,USDT-USD,BNB-USD,USDC-USD,XRP-USD,BUSD-USD,ADA-USD,DOGE-USD,MATIC-USD,Total Crypto Volume,FTSE 100 Volume
2022-02-15,22721659051,13921257873,53542330209,2538883559,3303759191,2249706300,4879125525,1370174980,674961496,1226641281,106428499465,808114200.0
2022-02-16,19792547657,12352406833,48729582312,1670788158,3231224663,2165008058,4475930042,1028924852,505588732,1194666956,95146668263,1128096000.0
2022-02-17,26246662813,15860206214,59426477844,1644013199,3964363431,2798023719,4635798731,1093325576,721382126,1137626487,117527880140,776929900.0
2022-02-18,23310007704,15748173433,52679060916,1554511893,3506445548,2913093056,4258048034,1288743412,563817289,1018489090,106840390375,768986400.0
2022-02-19,13736557863,9774183169,37278604791,1192395484,2094832701,3325442943,3002762758,1104597763,655782652,641146699,72806306823,
2022-02-20,18340576452,11641437834,45611091002,1431745519,2869319070,3041836889,3612352120,1429017666,490138547,846724841,89314239940,
2022-02-21,29280402798,18646392740,72043746349,2164511484,5035066514,3580522306,5311212829,2072270994,913773124,1583251489,140631150627,622636900.0
2022-02-22,25493150450,16360200507,60539262856,2037210077,4311028906,3539593096,5003666912,2058499639,711967119,1347670062,121402249624,1018787100.0
2022-02-23,21849073843,13382637240,54845607157,1644707704,4088593001,2690184820,4784157895,1824386011,587472906,1457761250,107154581827,862648700.0
2022-02-24,46383802093,29312342666,107952010250,2972951900,9044960990,5146799150,9044548485,3629367685,2046477370,2679134468,218212395057,1966584700.0
2022-02-25,26545599159,17208902048,66025345539,1839035023,5563465156,3460713330,5625014132,1652894219,805161073,1599951072,130326080751,1381725400.0
2022-02-26,17467554129,11724648351,46708690534,1319208551,3262045031,3051695701,3994663167,1099934921,535575654,898567950,90062583989,
2022-02-27,23450127612,16150857254,57257598779,1600855952,4352100239,2733141782,4655760911,1278510571,592809151,1047102113,113118864364,
2022-02-28,35690014104,19266124733,72330789600,1868349380,5502186592,3053923291,6135939226,1779202386,765755924,1205482070,147597767306,1584580200.0
2022-03-01,32479047645,18757425786,75388694286,2885318336,5617261430,2877778057,7240470964,1778795527,876604512,1420105585,149321502128,1349616800.0
2022-03-02,29183112630,16636517503,68076385283,2045870796,5351706956,2401047273,6024195138,1262681262,709536320,1415870294,133106923455,1325548600.0
2022-03-03,24967782593,13091199728,57033279685,1598018507,3923999317,2213014779,5303229077,986233549,518193386,990710018,110625660639,1226956300.0
2022-03-04,28516271427,14496939024,61900652306,1740563403,4810312635,2359803521,5218220679,1115108721,650665594,978462899,121787000209,1560387400.0
2022-03-05,16975917450,8072368396,39306054797,1321262776,2645372913,2297850919,3256741612,734896311,334091552,559768269,75504324995,
2022-03-06,19745229902,8872976607,43914369258,1305295273,3162813903,1862292224,3530909004,670024869,400458464,578861412,84043230916,
2022-03-07,28546143503,14594098731,61333826920,2058321705,4227523780,2920222453,4953274846,1040234323,513014829,1012797548,121199458638,2177431900.0
2022-03-08,25776583476,13922922903,55667916973,1684540144,4167069281,1907305640,4610123329,955952004,491414294,896799907,110080627951,1443985900.0
2022-03-09,32284121034,14173665398,67017876859,2425559108,4206640635,2408572082,6174267011,980869497,519157507,988921763,131179650894,1239463500.0
2022-03-10,31078064711,13292477213,65784999972,2105808203,3932910648,2418938595,5575929156,903650101,513641345,949122528,126555542472,1139094000.0
2022-03-11,26364890465,12382419582,58051333936,1550840418,3885937976,3478317257,5387572356,792395101,388727358,822568507,113105002956,973207200.0
2022-03-12,14616450657,6532996574,38101124958,1211417865,2442312633,3730330472,3768359315,493606091,235277001,490928601,71622804167,
2022-03-13,17300745310,8632000379,42268710956,1242011950,2802399958,2141326402,3953028284,772035954,373430106,443402681,79929091980,
2022-03-14,24322159070,11244398839,52613345077,1455465550,3579010932,2212291022,4673513645,924771999,822092169,752768010,102599816313,916048600.0
2022-03-15,23934000868,12861105614,52961395870,1360640456,3439991060,1830181545,4931281604,832137304,400614617,651542710,103202891648,870528100.0
2022-03-16,39616916192,17915109769,74673285342,1788844135,5396067900,2480411473,6387029888,1233395707,537170937,889458609,150917689952,1914129400.0
2022-03-17,22009601093,12685265194,52913216462,1635657390,3742857761,1862028805,5312806292,909733920,412838814,676449034,102160454765,1095585500.0
2022-03-18,34421564942,15830879093,64969319781,1666543771,4336717258,1850743124,6523372608,792706852,410862503,668540821,131471250753,2316358900.0
2022-03-19,19664853187,11576463120,58881848497,1532550954,2958600262,2046393370,5195729495,1103521076,628081786,652091500,104240133247,
